algorithm,makespan,resource_utilization,throughput,latency_p95,energy_consumption,coherence_maintained,execution_time
quantum_scheduling,25.0,1.9875008170696906,824.7144726506239,1.0,20.0,1.0,0.2425081729888916
heft,49.69876651766112,0.9997737148885807,413028.45888724766,47.21382819177806,49.69876651766112,0.0,0.00048422813415527344
genetic,52.90299467579662,0.9392194285265018,61.36743929559265,50.257844942006784,52.90299467579662,0.0,3.2590572834014893
quantum_scheduling,25.0,2.315663859066519,849.0923629738347,1.0,20.0,1.0,0.23554563522338867
heft,57.89771944807986,0.9998942450328743,443138.2989963022,55.002833475675864,57.89771944807986,0.0,0.0004513263702392578
genetic,61.7529730221151,0.9374705968558099,57.10258599194291,58.66532437100934,61.7529730221151,0.0,3.5024683475494385
quantum_scheduling,25.0,2.027231121237516,834.8343937190928,1.0,20.0,1.0,0.23956847190856934
heft,50.70971215580478,0.9994294165035292,456647.14207947743,48.17422654801454,50.70971215580478,0.0,0.0004379749298095703
genetic,54.55314154456165,0.9290166724777782,63.98457403152926,51.82548446733356,54.55314154456165,0.0,3.125753402709961
quantum_scheduling,25.0,2.1396089344712355,842.4064889118299,1.0,20.0,1.0,0.23741507530212402
heft,53.54329815319203,0.999008750053848,236832.5239977414,50.86613324553243,53.54329815319203,0.0,0.0008444786071777344
genetic,56.03066794580756,0.9546597483634539,64.5378316767926,53.22913454851718,56.03066794580756,0.0,3.0989575386047363
quantum_scheduling,25.0,1.913750318614876,857.6028527438644,1.0,20.0,1.0,0.23320817947387695
heft,47.855218479736216,0.999760516935699,471800.2249718785,45.4624575557494,47.855218479736216,0.0,0.0004239082336425781
genetic,52.44518202419819,0.9122622158751742,63.38950746945256,49.822922922988276,52.44518202419819,0.0,3.1550962924957275
quantum_scheduling,25.0,1.9005257637986106,837.6763256754948,1.0,20.0,1.0,0.2387557029724121
heft,47.52696063133097,0.9997092905546204,478801.82648401824,45.15061259976442,47.52696063133097,0.0,0.0004177093505859375
genetic,50.40955683336395,0.9425423883813698,62.61885653923618,47.88907899169575,50.40955683336395,0.0,3.1939260959625244
quantum_scheduling,25.0,1.952294999479116,852.2634957339114,1.0,20.0,1.0,0.23466920852661133
heft,48.822238415801216,0.9996955602752843,435319.5640892579,46.38112649501115,48.822238415801216,0.0,0.00045943260192871094
genetic,53.286815007020216,0.9159371784661521,65.48364889225668,50.6224742566692,53.286815007020216,0.0,3.0541975498199463
quantum_scheduling,25.0,2.098916026784634,845.0891067165006,1.0,20.0,1.0,0.23666143417358398
heft,52.49372861887305,0.999603229760865,444783.032873807,49.869042187929395,52.49372861887305,0.0,0.0004496574401855469
genetic,56.32784999904338,0.9315622852728624,64.71942290629943,53.51145749909121,56.32784999904338,0.0,3.0902624130249023
quantum_scheduling,25.0,2.1531734590506035,837.9415780888365,1.0,20.0,1.0,0.23868012428283691
heft,53.85482707356512,0.9995266794327421,443138.2989963022,51.16208571988686,53.85482707356512,0.0,0.0004513263702392578
genetic,58.40605739964058,0.9216396187803003,63.72995772384456,55.48575452965855,58.40605739964058,0.0,3.1382415294647217
quantum_scheduling,25.0,1.7933002111211607,846.0240859356169,1.0,20.0,1.0,0.23639988899230957
heft,44.846776798406225,0.9996817715475661,481274.12507171545,42.60443795848591,44.846776798406225,0.0,0.00041556358337402344
genetic,49.36812071559019,0.9081266337098214,63.80606795234029,46.89971467981068,49.36812071559019,0.0,3.134498119354248
quantum_scheduling,25.0,1.9030535173515741,831.7468690291934,1.0,20.0,1.0,0.24045777320861816
heft,47.639581892163434,0.9986724493401886,460659.41790225153,45.25760279755526,47.639581892163434,0.0,0.0004341602325439453
genetic,51.07855163753079,0.9314347491958225,64.55505070105413,48.52462405565425,51.07855163753079,0.0,3.098130941390991
quantum_scheduling,25.0,1.9230180610219898,811.1361658512058,1.0,20.0,1.0,0.2465677261352539
heft,48.095314571342605,0.9995870066352638,456150.5165851006,45.69054884277547,48.095314571342605,0.0,0.00043845176696777344
genetic,51.0105845984798,0.942460312971643,65.22556199513238,48.46005536855581,51.0105845984798,0.0,3.0662825107574463
quantum_scheduling,25.0,2.3652079547216633,851.1833818185877,1.0,20.0,1.0,0.23496699333190918
heft,59.14276087975499,0.9997875984900513,417551.418616227,56.185622835767234,59.14276087975499,0.0,0.00047898292541503906
genetic,64.08695331404083,0.9226557951396129,65.61535870062848,60.88260564833878,64.08695331404083,0.0,3.0480668544769287
quantum_scheduling,25.0,2.049206386535985,837.6286482584119,1.0,20.0,1.0,0.2387692928314209
heft,51.25157388101303,0.9995821744389134,456150.5165851006,48.68899518696237,51.25157388101303,0.0,0.00043845176696777344
genetic,56.60072579380699,0.9051148893395463,65.53709569831871,53.77068950411663,56.60072579380699,0.0,3.0517067909240723
quantum_scheduling,25.0,1.9102864228653431,846.7961265014451,1.0,20.0,1.0,0.23618435859680176
heft,47.79962276789394,0.9991116625236447,487709.76744186046,45.40964162949924,47.79962276789394,0.0,0.0004100799560546875
genetic,51.07614026021921,0.9350189800623867,60.74894515379058,48.52233324720825,51.07614026021921,0.0,3.292238235473633
quantum_scheduling,25.0,1.8670512804516637,831.487171760825,1.0,20.0,1.0,0.24053287506103516
heft,46.70236305617322,0.9994415476396717,489417.03617269546,44.36724490336456,46.70236305617322,0.0,0.0004086494445800781
genetic,50.326090807853305,0.9274768070006311,64.97165015565577,47.80978626746064,50.326090807853305,0.0,3.07826566696167
quantum_scheduling,25.0,1.807975766978414,796.1656223365786,1.0,20.0,1.0,0.2512040138244629
heft,45.21330420865078,0.9996923464357694,438964.3118785976,42.95263899821824,45.21330420865078,0.0,0.00045561790466308594
genetic,49.193209649785615,0.9188136837633104,61.98952594825166,46.73354916729633,49.193209649785615,0.0,3.226351499557495
quantum_scheduling,25.0,2.188943468496258,863.9579134271452,1.0,20.0,1.0,0.2314927577972412
heft,54.730507756561806,0.9998735432131172,449550.2679528403,51.99398236873371,54.730507756561806,0.0,0.0004448890686035156
genetic,60.10982646303022,0.9103933571670431,61.513240704001305,57.10433513987871,60.10982646303022,0.0,3.2513325214385986
quantum_scheduling,25.0,2.0458909139645853,813.8756319740293,1.0,20.0,1.0,0.24573779106140137
heft,51.1604665407081,0.9997421115856523,421538.0904522613,48.60244321367269,51.1604665407081,0.0,0.0004744529724121094
genetic,54.18946281728043,0.9438601194770346,64.75320957885907,51.4799896764164,54.18946281728043,0.0,3.0886499881744385
quantum_scheduling,25.0,2.075653389062291,794.981027221483,1.0,20.0,1.0,0.25157833099365234
heft,51.948011887836245,0.9989089638040173,486578.1902552204,49.35061129344443,51.948011887836245,0.0,0.00041103363037109375
genetic,54.21528347194874,0.9571348041259641,64.33153770756594,51.5045192983513,54.21528347194874,0.0,3.1088950634002686
